retailer,category,title,brand,currency,pack_content_g,price,price_per_kg,price_per_reference_serving,price_per_100g_protein,protein_grams_per_currency,cost_per_serving,cost_per_month,cost_per_year,availability,url
bulk,whey_protein,Clear Whey Isolate - Peach Iced Tea 2kg,Bulk,GBP,2000.0,94.99,47.495,1.187375,,,,,,in_stock,https://www.bulk.com/uk/products/clear-whey-isolate/bpb-cwhe
bulk,whey_protein,Hydrolysed Whey Protein Isolate - Unflavoured 500g,Bulk,GBP,500.0,27.99,55.98,1.3995,,,,,,in_stock,https://www.bulk.com/uk/products/hydrolysed-whey-protein-isolate/bpb-hwpi-0000
bulk,whey_protein,Hydrolysed Whey Protein Isolate - Unflavoured 1kg,Bulk,GBP,1000.0,49.99,49.99,1.24975,,,,,,in_stock,https://www.bulk.com/uk/products/hydrolysed-whey-protein-isolate/bpb-hwpi-0000
bulk,whey_protein,Hydrolysed Whey Protein Isolate - Unflavoured 2.5kg,Bulk,GBP,2500.0,119.99,47.996,1.1999,,,,,,in_stock,https://www.bulk.com/uk/products/hydrolysed-whey-protein-isolate/bpb-hwpi-0000
bulk,whey_protein,Basic Whey Protein - Vanilla 1.25kg,Bulk,GBP,1250.0,18.99,15.192,0.3798,,,,,,out_of_stock,https://www.bulk.com/uk/products/basic-whey-protein/bpb-vwhe
bulk,whey_protein,Basic Whey Protein - Strawberry 2.5kg,Bulk,GBP,2500.0,35.99,14.396,0.3599,,,,,,out_of_stock,https://www.bulk.com/uk/products/basic-whey-protein/bpb-vwhe
bulk,whey_protein,Diet Whey Protein - Chocolate 500g,Bulk,GBP,500.0,15.99,31.98,0.7995,,,,,,in_stock,https://www.bulk.com/uk/products/diet-whey-protein/bble-dwpr
bulk,whey_protein,Diet Whey Protein - Chocolate 1kg,Bulk,GBP,1000.0,39.99,39.99,0.99975,,,,,,in_stock,https://www.bulk.com/uk/products/diet-whey-protein/bble-dwpr
bulk,whey_protein,Whey Protein Coffee - Iced Caramel Latte 500g,Bulk,GBP,500.0,17.99,35.98,0.8995,,,,,,in_stock,https://www.bulk.com/uk/products/whey-protein-coffee/bpb-pico
bulk,whey_protein,Whey Protein Coffee - Iced Latte 1kg,Bulk,GBP,1000.0,33.99,33.99,0.84975,,,,,,in_stock,https://www.bulk.com/uk/products/whey-protein-coffee/bpb-pico
bulk,whey_protein,Clear Whey All In One - Apple & Blackcurrant 500g,Bulk,GBP,500.0,22.49,44.98,1.1245,,,,,,in_stock,https://www.bulk.com/uk/products/clear-all-in-one/bble-cwa1
bulk,whey_protein,Clear Whey All In One - Apple & Blackcurrant 1kg,Bulk,GBP,1000.0,38.99,38.99,0.97475,,,,,,in_stock,https://www.bulk.com/uk/products/clear-all-in-one/bble-cwa1
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 100g,Bulk,GBP,100.0,4.99,49.9,1.2475,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 500g,Bulk,GBP,500.0,12.99,25.98,0.6495,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 1kg,Bulk,GBP,1000.0,24.99,24.99,0.62475,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
bulk,creatine_monohydrate,Creatine Monohydrate Powder - Unflavoured 250g,Bulk,GBP,250.0,7.49,29.96,0.749,,,,,,in_stock,https://www.bulk.com/uk/products/creatine-monohydrate/bpb-cmon-0000
bulk,creatine_monohydrate,Creatine Monohydrate (Creapure®️) - Unflavoured 100g,Bulk,GBP,100.0,9.99,99.9,2.4975,,,,,,in_stock,https://www.bulk.com/uk/products/creapure-creatine-monohydrate/bpb-crea-0000
bulk,creatine_monohydrate,Creatine Monohydrate (Creapure®️) - Unflavoured 500g,Bulk,GBP,500.0,39.99,79.98,1.9995,,,,,,in_stock,https://www.bulk.com/uk/products/creapure-creatine-monohydrate/bpb-crea-0000
bulk,creatine_monohydrate,Creatine Monohydrate (Creapure®️) - Unflavoured 1kg,Bulk,GBP,1000.0,74.99,74.99,1.87475,,,,,,in_stock,https://www.bulk.com/uk/products/creapure-creatine-monohydrate/bpb-crea-0000
